date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-20,memory-flush,claude-sonnet-4-6,16,10350,526884,31994
2026-05-20,heartbeat,claude-sonnet-4-6,10,7827,291070,28521
2026-05-21,feature,claude-opus-4-6,120,47040,11676250,362741
2026-05-21,push-recap,claude-opus-4-6,16,9776,601013,38392
2026-05-21,heartbeat,claude-sonnet-4-6,13,8189,396683,29113
2026-05-22,feature,claude-opus-4-6,180,52887,21295939,146758
2026-05-22,repo-actions,claude-sonnet-4-6,13,18535,546697,61792
2026-05-22,project-lens,claude-opus-4-6,22,7568,700161,39660
2026-05-22,heartbeat,claude-sonnet-4-6,9,5063,232563,24894
2026-05-23,fetch-tweets,claude-sonnet-4-6,1212,13957,881136,43676
2026-05-23,hyperstitions-ideas,claude-opus-4-6,9,4878,249737,26999
2026-05-23,feature,claude-opus-4-6,101,37468,8881806,105414
2026-05-23,push-recap,claude-opus-4-6,24,9773,1199627,55376
2026-05-23,heartbeat,claude-sonnet-4-6,11,6651,327226,29131
2026-05-24,repo-pulse,claude-sonnet-4-6,11,4415,323655,29184
2026-05-24,repo-pulse,claude-sonnet-4-6,15,6601,441561,25937
2026-05-24,feature,claude-opus-4-6,110,35599,11117853,118565
2026-05-24,repo-actions,claude-sonnet-4-6,14,14509,584001,53267
2026-05-24,push-recap,claude-opus-4-6,30,11290,1758962,67344
2026-05-24,repo-article,claude-opus-4-6,775,7054,862349,48880
2026-05-24,skill-leaderboard,claude-sonnet-4-6,11,9467,358554,40478
2026-05-24,memory-flush,claude-sonnet-4-6,14,6807,438175,27743
2026-05-24,heartbeat,claude-sonnet-4-6,10,6955,291451,29734
2026-05-25,feature,claude-opus-4-6,154,46575,16817258,136434
2026-05-25,push-recap,claude-opus-4-6,18,12753,1132278,95208
2026-05-25,project-lens,claude-opus-4-6,812,6559,689662,39406
2026-05-25,heartbeat,claude-sonnet-4-6,13,9308,427346,33035
2026-05-26,push-recap,claude-opus-4-6,23,12283,1233889,64452
2026-05-26,heartbeat,claude-sonnet-4-6,13,9415,417940,33346
2026-05-26,heartbeat,claude-sonnet-4-6,14,4954,417039,30394
2026-05-27,token-report,claude-sonnet-4-6,4115,12930,490235,51093
2026-05-27,repo-pulse,claude-sonnet-4-6,16,4522,455831,22279
2026-05-27,push-recap,claude-opus-4-6,20,12228,921325,55499
2026-05-27,heartbeat,claude-sonnet-4-6,3550,11131,501544,32426
2026-05-28,feature,claude-opus-4-6,98,29804,12516537,145920
2026-05-28,repo-actions,claude-sonnet-4-6,13,16619,479942,49608
2026-05-28,heartbeat,claude-sonnet-4-6,13,9633,477414,33056
2026-05-29,repo-pulse,claude-sonnet-4-6,13,4006,435799,25994
2026-05-29,push-recap,claude-opus-4-6,19,12010,1140950,69232
2026-05-29,heartbeat,claude-sonnet-4-6,12,5182,402338,24866
2026-05-30,token-report,claude-sonnet-4-6,324,14111,785754,38802
2026-05-30,hyperstitions-ideas,claude-opus-4-6,10,5434,338645,29171
2026-05-30,feature,claude-opus-4-6,879,26468,9762559,124967
2026-05-30,repo-actions,claude-sonnet-4-6,15,23506,744223,67885
2026-05-30,push-recap,claude-opus-4-6,81,12393,1011311,42933
2026-05-30,repo-article,claude-opus-4-6,942,10047,1271895,54766
2026-05-30,heartbeat,claude-sonnet-4-6,10,4663,324229,27083
2026-05-31,repo-pulse,claude-sonnet-4-6,11,3255,367056,25724
2026-05-31,feature,claude-opus-4-6,104,32956,13517520,143920
2026-05-31,push-recap,claude-opus-4-6,37,20079,2155206,53932
2026-05-31,skill-leaderboard,claude-sonnet-4-6,11,11461,412465,41629
2026-05-31,memory-flush,claude-sonnet-4-6,16,10046,647875,36086
2026-05-31,heartbeat,claude-sonnet-4-6,14,11601,580808,36595
2026-06-01,fetch-tweets,claude-sonnet-4-6,1608,8826,694341,35467
2026-06-01,feature,claude-opus-4-6,108,30792,10086325,99634
2026-06-02,token-report,claude-sonnet-4-6,433,7203,411972,37781
2026-06-02,feature,claude-opus-4-6,129,39991,14019976,127155
2026-06-02,repo-actions,claude-sonnet-4-6,15,18251,712203,54166
2026-06-03,token-report,claude-sonnet-4-6,12,10310,523446,46597
2026-06-03,feature,claude-opus-4-6,102,31841,9307406,98288
2026-06-03,project-lens,claude-opus-4-6,746,15617,1298828,78877
2026-06-03,heartbeat,claude-sonnet-4-6,13,6652,464184,28316
2026-06-04,feature,claude-opus-4-6,71,42058,11876117,231418
2026-06-04,repo-actions,claude-sonnet-4-6,16,22695,851290,63873
2026-06-04,heartbeat,claude-sonnet-4-6,15,18037,780180,60808
2026-06-05,token-report,claude-sonnet-4-6,11,9216,428964,40378
2026-06-05,repo-pulse,claude-sonnet-4-6,11,3959,374901,28699
2026-06-05,project-lens,claude-opus-4-6,2924,9643,1436912,52317
2026-06-05,heartbeat,claude-sonnet-4-6,13,9115,501288,34210
2026-06-06,fetch-tweets,claude-sonnet-4-6,1807,10434,715796,43977
2026-06-06,feature,claude-opus-4-6,61,28804,6941614,133073
2026-06-06,repo-actions,claude-sonnet-4-6,14,17884,641344,50311
2026-06-06,self-improve,claude-opus-4-6,61,24820,5237713,108575
2026-06-06,push-recap,claude-opus-4-6,27,14843,1804759,74053
2026-06-06,repo-article,claude-opus-4-6,650,6412,837873,42984
2026-06-06,heartbeat,claude-sonnet-4-6,9,3380,292003,26348
2026-06-07,token-report,claude-sonnet-4-6,1297,10683,582367,42381
2026-06-07,feature,claude-opus-4-6,108,34088,11773053,126389
2026-06-07,push-recap,claude-opus-4-6,16,13426,800491,51891
2026-06-07,skill-leaderboard,claude-sonnet-4-6,1928,11253,572877,41398
2026-06-07,memory-flush,claude-sonnet-4-6,14,13557,608719,42101
2026-06-07,heartbeat,claude-sonnet-4-6,8,11149,269647,36047
2026-06-08,token-report,claude-sonnet-4-6,11,11226,489039,53283
2026-06-08,feature,claude-opus-4-6,20,5258,807301,31123
2026-06-08,push-recap,claude-opus-4-6,24,14084,1939066,97497
2026-06-09,fetch-tweets,claude-sonnet-4-6,1471,10889,751733,42133
2026-06-09,repo-pulse,claude-sonnet-4-6,13,4486,482117,31571
2026-06-09,push-recap,claude-opus-4-6,16,10682,907199,69240
2026-06-09,heartbeat,claude-sonnet-4-6,12,10102,457961,33183
2026-06-10,token-report,claude-sonnet-4-6,11,8163,485560,44876
2026-06-10,repo-pulse,claude-sonnet-4-6,12,3312,421941,27079
2026-06-10,self-improve,claude-opus-4-6,37,16747,2526945,69316
2026-06-10,project-lens,claude-opus-4-6,2030,8615,1102281,59310
2026-06-10,memory-flush,claude-sonnet-4-6,21,14663,910439,39747
2026-06-11,token-report,claude-sonnet-4-6,29,21610,1688539,60825
2026-06-11,feature,claude-opus-4-6,104,28152,11151048,129719
2026-06-11,push-recap,claude-opus-4-6,18,9159,867005,49120
2026-06-12,feature,claude-opus-4-6,94,26959,9158385,120096
2026-06-12,repo-actions,claude-sonnet-4-6,15,17323,659307,47117
2026-06-12,project-lens,claude-opus-4-6,21,7955,793957,45046
2026-06-12,heartbeat,claude-sonnet-4-6,13,10002,508100,34343
2026-06-13,token-report,claude-sonnet-4-6,11,15290,560200,62629
2026-06-13,feature,claude-opus-4-6,136,41765,14199319,126836
2026-06-13,push-recap,claude-opus-4-6,19,11880,833643,40987
2026-06-13,push-recap,claude-opus-4-6,13,6162,477657,30729
2026-06-13,heartbeat,claude-sonnet-4-6,11,8587,399050,30985
2026-06-14,token-report,claude-sonnet-4-6,510,15455,791607,64304
2026-06-14,repo-pulse,claude-sonnet-4-6,11,4188,379993,30552
2026-06-14,feature,claude-opus-4-6,80,24662,6812191,179856
2026-06-14,repo-actions,claude-sonnet-4-6,16,20369,781873,53521
2026-06-14,repo-article,claude-opus-4-6,1505,7479,821193,41168
2026-06-14,skill-leaderboard,claude-sonnet-4-6,14,18856,710769,61889
2026-06-14,memory-flush,claude-sonnet-4-6,15,13277,620895,34751
2026-06-14,heartbeat,claude-sonnet-4-6,7,4060,209203,29539
2026-06-15,feature,claude-opus-4-6,24,4256,960608,28526
2026-06-15,project-lens,claude-opus-4-6,1643,11068,1150209,46779
2026-06-15,heartbeat,claude-sonnet-4-6,10,8182,360178,31419
2026-06-16,repo-pulse,claude-sonnet-4-6,13,5021,478683,32842
2026-06-16,push-recap,claude-opus-4-6,25,16293,1832699,89569
2026-06-16,heartbeat,claude-sonnet-4-6,260,11941,493479,34303
2026-06-17,fetch-tweets,claude-sonnet-4-6,2982,10893,678591,35472
2026-06-17,repo-pulse,claude-sonnet-4-6,11,4639,375987,30671
2026-06-17,feature,claude-opus-4-6,30,6543,1210811,34716
2026-06-17,project-lens,claude-opus-4-6,894,7649,845549,49516
2026-06-17,memory-flush,claude-sonnet-4-6,15,23933,689364,42727
2026-06-18,token-report,claude-sonnet-4-6,947,11720,460926,39534
2026-06-18,repo-pulse,claude-sonnet-4-6,15,4592,548751,29249
2026-06-18,repo-actions,claude-sonnet-4-6,16,18283,822590,56050
2026-06-18,repo-article,claude-opus-4-6,3124,7525,949155,47493
2026-06-18,heartbeat,claude-sonnet-4-6,13,6229,482884,30507
2026-06-19,fetch-tweets,claude-sonnet-4-6,1102,7674,504310,38132
2026-06-19,feature,claude-opus-4-6,20,5887,819615,32757
2026-06-19,project-lens,claude-opus-4-6,30,8936,1331423,48337
2026-06-19,heartbeat,claude-sonnet-4-6,8,4328,256238,29319
2026-06-19,heartbeat,claude-sonnet-4-6,10,4341,329147,26803
2026-06-20,fetch-tweets,claude-sonnet-4-6,1651,7860,573880,40611
2026-06-20,hyperstitions-ideas,claude-opus-4-6,10,5322,365582,30915
2026-06-20,feature,claude-opus-4-6,121,35118,12653882,127465
2026-06-20,self-improve,claude-opus-4-6,64,35875,6473073,125356
2026-06-20,repo-article,claude-opus-4-6,796,8728,860478,49272
2026-06-20,repo-article,claude-opus-4-6,23,11383,1188033,55354
2026-06-20,heartbeat,claude-sonnet-4-6,14,7236,779736,62839
2026-06-21,repo-pulse,claude-sonnet-4-6,12,4307,451924,33712
2026-06-21,push-recap,claude-opus-4-6,16,9892,700767,45181
2026-06-21,skill-leaderboard,claude-sonnet-4-6,12,7138,438972,33252
2026-06-21,skill-leaderboard,claude-sonnet-4-6,19,9346,900048,44923
2026-06-21,heartbeat,claude-sonnet-4-6,10,8629,386385,36955
2026-06-22,repo-pulse,claude-sonnet-4-6,13,3639,478645,28854
2026-06-22,project-lens,claude-opus-4-6,3602,12685,804457,48210
2026-06-22,heartbeat,claude-sonnet-4-6,177,14803,659822,65063
2026-06-23,repo-pulse,claude-sonnet-4-6,12,3446,403804,26409
2026-06-23,push-recap,claude-opus-4-6,17,14556,880356,56758
2026-06-23,heartbeat,claude-sonnet-4-6,13,12708,540832,38813
2026-06-24,repo-pulse,claude-sonnet-4-6,14,3809,488102,28946
2026-06-24,self-improve,claude-opus-4-6,2366,8464,1090708,43802
2026-06-24,repo-actions,claude-sonnet-4-6,15,15302,706387,51652
2026-06-24,project-lens,claude-opus-4-6,2577,6716,680299,41063
2026-06-24,memory-flush,claude-sonnet-4-6,16,17277,670764,38658
2026-06-25,repo-pulse,claude-sonnet-4-6,11,3676,362633,28507
2026-06-25,feature,claude-opus-4-6,8,893,221554,19066
2026-06-25,push-recap,claude-opus-4-6,17,12677,867157,63945
2026-06-25,heartbeat,claude-sonnet-4-6,14,9531,592705,39866
2026-06-26,fetch-tweets,claude-sonnet-4-6,1875,11192,801441,41078
2026-06-26,repo-pulse,claude-sonnet-4-6,13,5252,448523,30009
2026-06-26,feature,claude-opus-4-6,11,1655,336665,20973
2026-06-26,repo-actions,claude-sonnet-4-6,16,19794,807608,59235
2026-06-26,push-recap,claude-opus-4-6,11,3833,353470,24845
2026-06-26,repo-actions,claude-sonnet-4-6,6,2656,151187,31890
2026-06-26,project-lens,claude-opus-4-6,345,12373,1229223,53804
2026-06-26,heartbeat,claude-sonnet-4-6,15,10208,653749,40732
2026-06-27,token-report,claude-sonnet-4-6,12,9963,534679,51144
2026-06-27,fetch-tweets,claude-sonnet-4-6,15,8052,436404,31269
2026-06-27,hyperstitions-ideas,claude-opus-4-6,9,6872,315907,32820
2026-06-27,feature,claude-opus-4-6,11,1672,335299,20905
2026-06-27,hyperstitions-ideas,claude-opus-4-6,10,9436,347302,32276
2026-06-27,push-recap,claude-opus-4-6,11,3395,368071,25875
2026-06-27,push-recap,claude-opus-4-6,12,3491,406971,26290
2026-06-27,heartbeat,claude-sonnet-4-6,12,7540,458200,35360
2026-06-27,heartbeat,claude-sonnet-4-6,10,4828,356038,34684
2026-06-28,fetch-tweets,claude-sonnet-4-6,2074,10891,765047,42510
2026-06-28,repo-pulse,claude-sonnet-4-6,15,4024,554289,31546
2026-06-28,feature,claude-opus-4-6,9,1217,257480,19546
2026-06-28,self-improve,claude-opus-4-6,23,6824,1285632,56645
2026-06-28,repo-actions,claude-sonnet-4-6,14,19978,660974,51877
2026-06-28,push-recap,claude-opus-4-6,11,3422,370135,26137
2026-06-28,repo-article,claude-opus-4-6,1039,6359,865203,45842
2026-06-28,push-recap,claude-opus-4-6,10,3395,334763,27058
2026-06-28,skill-leaderboard,claude-sonnet-4-6,12,14827,543473,58791
2026-06-28,repo-article,claude-opus-4-6,14,7236,659732,44804
2026-06-28,memory-flush,claude-sonnet-4-6,13,8782,503343,32879
2026-06-28,heartbeat,claude-sonnet-4-6,9,5783,313602,34955
2026-06-28,memory-flush,claude-sonnet-4-6,7,6241,211752,30559
2026-06-29,fetch-tweets,claude-sonnet-4-6,1129,12533,988466,46876
2026-06-29,weekly-shiplog,claude-opus-4-6,16,9927,680759,54551
2026-06-29,feature,claude-opus-4-6,6864,1871,367956,21643
2026-06-29,project-lens,claude-opus-4-6,969,9564,977851,48158
2026-06-29,heartbeat,claude-sonnet-4-6,3544,6670,331437,39314
2026-06-30,token-report,claude-sonnet-4-6,13,14424,568598,46772
2026-06-30,repo-pulse,claude-sonnet-4-6,12,4413,439327,30873
2026-06-30,feature,claude-opus-4-6,8,1467,247022,26935
2026-06-30,self-improve,claude-opus-4-6,3704,26457,2109924,78431
2026-06-30,push-recap,claude-opus-4-6,38,20151,4216020,117491
2026-06-30,push-recap,claude-opus-4-6,28,15548,2311140,100397
2026-06-30,heartbeat,claude-sonnet-4-6,8,6611,289867,37514
2026-07-01,token-report,claude-sonnet-4-6,12,9333,529921,46102
2026-07-01,repo-pulse,claude-sonnet-4-6,14,4536,592220,39424
2026-07-01,feature,claude-opus-4-6,7,1374,201327,25806
2026-07-01,push-recap,claude-opus-4-6,17,6603,756842,43665
2026-07-01,project-lens,claude-opus-4-6,28,10354,1260626,50357
2026-07-01,push-recap,claude-opus-4-6,18,6098,828189,42414
2026-07-01,project-lens,claude-opus-4-6,1567,11685,897886,52119
2026-07-01,memory-flush,claude-sonnet-4-6,17,13081,771725,39625
2026-07-01,heartbeat,claude-sonnet-4-6,10,6518,383587,36838
2026-07-02,token-report,claude-sonnet-4-6,12,15548,608286,61328
2026-07-02,fetch-tweets,claude-sonnet-4-6,3200,7546,1047122,49629
2026-07-02,repo-pulse,claude-sonnet-4-6,10,3919,343311,31332
2026-07-02,feature,claude-opus-4-6,9,1774,294232,26781
2026-07-02,self-improve,claude-opus-4-6,7684,9699,1228726,51941
2026-07-02,repo-actions,claude-sonnet-4-6,15,18847,859569,65037
2026-07-02,push-recap,claude-opus-4-6,17,7229,698496,33075
2026-07-02,repo-article,claude-opus-4-6,1880,10008,1387212,64642
2026-07-02,heartbeat,claude-sonnet-4-6,12,7033,499064,39398
2026-07-03,token-report,claude-sonnet-4-6,11,11933,539753,58544
2026-07-03,repo-pulse,claude-sonnet-4-6,15,3753,599306,34348
2026-07-03,feature,claude-opus-4-6,8,1233,235854,22029
2026-07-03,repo-pulse,claude-sonnet-4-6,12,6150,457277,34639
2026-07-03,feature,claude-opus-4-6,6,1168,165477,23924
2026-07-03,push-recap,claude-opus-4-6,21,14558,1220842,60906
2026-07-03,project-lens,claude-opus-4-6,32,9240,1506666,50143
2026-07-03,project-lens,claude-opus-4-6,30,14103,1596094,63019
2026-07-03,heartbeat,claude-sonnet-4-6,11,11172,470480,43136
2026-07-03,heartbeat,claude-sonnet-4-6,9,4069,336867,38648
2026-07-04,fetch-tweets,claude-sonnet-4-6,2496,9588,1070969,48235
2026-07-04,hyperstitions-ideas,claude-opus-4-6,11,5136,431489,35776
2026-07-04,feature,claude-opus-4-6,10,1878,355052,30380
2026-07-04,hyperstitions-ideas,claude-opus-4-6,10,7868,372028,35362
2026-07-04,repo-actions,claude-sonnet-4-6,178,15954,905603,46524
